Code,Description1,Description2,Type,Unknown1,Unknown2,Unknown3,Unknown4,last_updated
,,,,20020701,20020701,,N,2025-09-10
,,,,20020701,20020701,,N,2025-09-10
,,,,20020701,20020701,,N,2025-09-10
,,,,20020701,20020701,,N,2025-09-10
,,,,20020701,20020701,,N,2025-09-10
,,,,20020701,20020701,,N,2025-09-10
,,,,20020701,20020701,,N,2025-09-10
,,,,20020701,20020701,,N,2025-09-10
,,,,20020701,20020701,,N,2025-09-10
,,,,19840101,20010101,,N,2025-09-10
,,,,20230101,20230101,,N,2025-09-10
,,,,19840101,20010101,,N,2025-09-10
,,,,20050101,20050101,,N,2025-09-10
,,,,20050101,20050101,,N,2025-09-10
,,,,20050101,20050101,,N,2025-09-10
,,,,19910101,19970101,,N,2025-09-10
,,,,20100101,20100101,,N,2025-09-10
,,,,19910101,19970101,,N,2025-09-10
,,,,20050101,20050101,,N,2025-09-10
,,,,19910101,19970101,,N,2025-09-10
,,,,20131001,20131001,,N,2025-09-10
,,,,19840101,19970101,,N,2025-09-10
,,,,20060101,20060101,,N,2025-09-10
,,,,20050101,20050101,,N,2025-09-10
,,,,19880101,19990101,,N,2025-09-10
,,,,19840101,19980101,,N,2025-09-10
,,,,20030101,20030101,,N,2025-09-10
,,,,20030101,20030101,,N,2025-09-10
,,,,20030101,20030101,,N,2025-09-10
,,,,20030101,20030101,,N,2025-09-10
,,,,20110101,20110101,,N,2025-09-10
,,,,20110101,20110101,,N,2025-09-10
,,,,20030101,20030101,,N,2025-09-10
,,,,20050701,20050701,,N,2025-09-10
,,,,20030101,20030101,,N,2025-09-10
,,,,19920101,19970101,,N,2025-09-10
,,,,19920101,19970101,,N,2025-09-10
,,,,19920101,19970101,,N,2025-09-10
,,,,20030101,20030101,,N,2025-09-10
,,,,20030401,20040101,,N,2025-09-10
,,,,19900101,19970101,,N,2025-09-10
,,,,20040101,20040101,,N,2025-09-10
,,,,20040101,20040101,,N,2025-09-10
,,,,20040101,20040101,,N,2025-09-10
,,,,20080701,20080701,,N,2025-09-10
,,,,20130101,20130101,,N,2025-09-10
,,,,20130101,20130101,,N,2025-09-10
,,,,20130101,20130101,,N,2025-09-10
,,,,20130101,20130101,,N,2025-09-10
,,,,20130101,20130101,,N,2025-09-10
,,,,20130101,20130101,,N,2025-09-10
,,,,20130101,20130101,,N,2025-09-10
,,,,20190101,20190101,,N,2025-09-10
,,,,20160101,20180101,20171231,N,2025-09-10
,,,,20190101,20190101,,N,2025-09-10
,,,,20050821,20050821,,N,2025-09-10
,,,,20110101,20200301,,N,2025-09-10
,,,,20160101,20160101,,N,2025-09-10
,,,,20110101,20110101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,20080101,20080101,,N,2025-09-10
,,,,20080101,20080101,,N,2025-09-10
,,,,20080101,20080101,,N,2025-09-10
,,,,20080101,20080101,,N,2025-09-10
,,,,20080101,20080101,,N,2025-09-10
,,,,19910101,20000101,,N,2025-09-10
,,,,19910101,19970101,,N,2025-09-10
,,,,19870101,19970101,,N,2025-09-10
,,,,20190101,20190101,,N,2025-09-10
,,,,19840101,20020101,,N,2025-09-10
,,,,20150401,20150401,,N,2025-09-10
,,,,20030101,20030101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,19950101,19990101,,N,2025-09-10
,,,,20060101,20080101,,N,2025-09-10
,,,,20080101,20080101,,N,2025-09-10
,,,,19870101,20050101,,N,2025-09-10
,,,,20220101,20220101,,N,2025-09-10
,,,,20220101,20220101,,N,2025-09-10
,,,,20220101,20220101,,N,2025-09-10
,,,,20220101,20220101,,N,2025-09-10
,,,,20170101,20170101,,N,2025-09-10
,,,,20180101,20180101,,N,2025-09-10
,,,,20190101,20190101,,N,2025-09-10
,,,,19970101,19980101,,N,2025-09-10
,,,,19970101,19980101,,N,2025-09-10
,,,,19970101,19980101,,N,2025-09-10
,,,,19970101,19970101,,N,2025-09-10
,,,,19970101,19980101,,N,2025-09-10
,,,,19980501,19980501,,N,2025-09-10
,,,,19990701,19990701,,N,2025-09-10
,,,,19990701,19990701,,N,2025-09-10
,,,,19990701,19990701,,N,2025-09-10
,,,,19950101,20110101,,N,2025-09-10
,,,,20020101,20020101,,N,2025-09-10
